atributo,pos_teste,cluster_a,cluster_b,estatistica,p_bruto,p_ajustado,significativo,dif_mediana_a_minus_b,n_a,n_b
Seminal plasma anti-Müllerian hormone (AMH) (pmol/L),Dunn + FDR(pares),1_3,3_3,-0.5227439178430467,0.6011524715861694,0.7470126130630346,False,0.0,125,47
Seminal plasma anti-Müllerian hormone (AMH) (pmol/L),Dunn + FDR(pares),1_3,3_4,-1.0916812007789247,0.27497325102908066,0.41551513488838854,False,-56.0,125,4
Seminal plasma anti-Müllerian hormone (AMH) (pmol/L),Dunn + FDR(pares),1_3,4_0,1.9293567491860213,0.05368658913814632,0.15211200255808124,False,21.0,125,103
Seminal plasma anti-Müllerian hormone (AMH) (pmol/L),Dunn + FDR(pares),1_3,4_1,1.1309520807463183,0.25807526095318667,0.3943621965127347,False,1.0,125,19
Seminal plasma anti-Müllerian hormone (AMH) (pmol/L),Dunn + FDR(pares),1_3,4_2,-3.5444365137360534,0.00039345324691503317,0.0047570975425731505,True,-31.0,125,26
Seminal plasma anti-Müllerian hormone (AMH) (pmol/L),Dunn + FDR(pares),1_3,4_3,-0.4780867006384132,0.6325884974342055,0.7529235696410304,False,0.0,125,27
Seminal plasma anti-Müllerian hormone (AMH) (pmol/L),Dunn + FDR(pares),1_4,2_1,2.5322112601181113,0.011334567795356925,0.046712158186925506,True,35.0,36,28
Seminal plasma anti-Müllerian hormone (AMH) (pmol/L),Dunn + FDR(pares),1_4,2_3,2.1709127590372748,0.0299377676746614,0.09694134294652262,False,41.0,36,16
Seminal plasma anti-Müllerian hormone (AMH) (pmol/L),Dunn + FDR(pares),1_4,2_4,4.001193640657503,6.302375484551325e-05,0.0010060872966192584,True,51.0,36,52
Seminal plasma anti-Müllerian hormone (AMH) (pmol/L),Dunn + FDR(pares),1_4,3_0,-1.4277115667564253,0.1533748955177832,0.274460339347612,False,-17.0,36,11
Seminal plasma anti-Müllerian hormone (AMH) (pmol/L),Dunn + FDR(pares),1_4,3_1,0.32204670748289427,0.7474173103811447,0.8199058305305,False,24.0,36,109
Seminal plasma anti-Müllerian hormone (AMH) (pmol/L),Dunn + FDR(pares),1_4,3_3,0.8849433303843648,0.3761871964789226,0.5220557012360559,False,24.0,36,47
Seminal plasma anti-Müllerian hormone (AMH) (pmol/L),Dunn + FDR(pares),1_4,3_4,-0.5105101321273976,0.6096941180146827,0.7470126130630346,False,-32.0,36,4
Seminal plasma anti-Müllerian hormone (AMH) (pmol/L),Dunn + FDR(pares),1_4,4_0,2.8003626346278456,0.005104522740872455,0.030175556405643837,True,45.0,36,103
Seminal plasma anti-Müllerian hormone (AMH) (pmol/L),Dunn + FDR(pares),1_4,4_1,1.988685876899731,0.04673588582216715,0.14124623270699407,False,25.0,36,19
Seminal plasma anti-Müllerian hormone (AMH) (pmol/L),Dunn + FDR(pares),1_4,4_2,-1.8594176010311811,0.06296796886682716,0.16296174022974694,False,-7.0,36,26
Seminal plasma anti-Müllerian hormone (AMH) (pmol/L),Dunn + FDR(pares),1_4,4_3,0.7226731663506243,0.46988070513062874,0.6144593836323607,False,24.0,36,27
Seminal plasma anti-Müllerian hormone (AMH) (pmol/L),Dunn + FDR(pares),2_1,2_3,0.04537723183589195,0.9638066286528214,0.977687548639518,False,6.0,28,16
Seminal plasma anti-Müllerian hormone (AMH) (pmol/L),Dunn + FDR(pares),2_1,2_4,0.9789086059752357,0.3276251395627964,0.4690212524267401,False,16.0,28,52
Seminal plasma anti-Müllerian hormone (AMH) (pmol/L),Dunn + FDR(pares),2_1,3_0,-3.175337065770984,0.0014966254405571675,0.010712687363988145,True,-52.0,28,11
Seminal plasma anti-Müllerian hormone (AMH) (pmol/L),Dunn + FDR(pares),2_1,3_1,-2.719367452391395,0.0065406903295093756,0.03294569943752871,True,-11.0,28,109
Seminal plasma anti-Müllerian hormone (AMH) (pmol/L),Dunn + FDR(pares),2_1,3_3,-1.8517255400508907,0.06406524459724522,0.16296174022974694,False,-11.0,28,47
Seminal plasma anti-Müllerian hormone (AMH) (pmol/L),Dunn + FDR(pares),2_1,3_4,-1.6970656142420344,0.08968425625590785,0.20178502300764112,False,-67.0,28,4
Seminal plasma anti-Müllerian hormone (AMH) (pmol/L),Dunn + FDR(pares),2_1,4_0,-0.44981151091845484,0.6528463571312341,0.7529235696410304,False,10.0,28,103
Seminal plasma anti-Müllerian hormone (AMH) (pmol/L),Dunn + FDR(pares),2_1,4_1,-0.24941830894252345,0.8030372240905677,0.8667703371136285,False,-10.0,28,19
Seminal plasma anti-Müllerian hormone (AMH) (pmol/L),Dunn + FDR(pares),2_1,4_2,-4.099892678755348,4.133417738519052e-05,0.0008164200469106868,True,-42.0,28,26
